time	V(pos)	I(Iexample)
6.239845270973850e-004	1.995936e-004	4.991876e-006
6.239848885223882e-004	1.995940e-004	4.991879e-006
6.239852674168218e-004	1.995940e-004	4.991882e-006
6.239856412553045e-004	1.995943e-004	4.991885e-006
6.239860081866320e-004	1.995945e-004	4.991888e-006
6.239863729747500e-004	1.995944e-004	4.991891e-006
6.239867354961949e-004	1.995950e-004	4.991894e-006
6.239871096059772e-004	1.995945e-004	4.991897e-006
6.239875095452412e-004	1.995953e-004	4.991900e-006
6.239879667445202e-004	1.995949e-004	4.991904e-006
6.239885398559666e-004	1.995955e-004	4.991908e-006
6.239893764103837e-004	1.995958e-004	4.991915e-006
6.239910495192180e-004	1.995964e-004	4.991929e-006
6.239941162098733e-004	1.995976e-004	4.991953e-006
6.239975967190168e-004	1.995990e-004	4.991981e-006
6.240037276940124e-004	1.996015e-004	4.992030e-006
6.240137987168226e-004	1.996055e-004	4.992110e-006
6.240317994370639e-004	1.996127e-004	4.992255e-006
6.240677144708620e-004	1.996271e-004	4.992542e-006
6.241287611567308e-004	1.996515e-004	4.993030e-006
6.242467074540391e-004	1.996987e-004	4.993974e-006
6.244596572390822e-004	1.997839e-004	4.995677e-006
6.248502738130087e-004	1.999401e-004	4.998802e-006
6.256315069608614e-004	2.002444e-004	5.005052e-006
6.258268152478246e-004	2.003239e-004	5.006615e-006
6.262174318217510e-004	2.004870e-004	5.009740e-006
6.269986649696037e-004	2.007995e-004	5.015989e-006
6.279491977368387e-004	2.011797e-004	5.023594e-006
6.281868309286474e-004	2.012747e-004	5.025495e-006
6.286620973122648e-004	2.014648e-004	5.029297e-006
1.000000000000000e-003	3.500000e-004	8.000000e-006
1.000183263766837e-003	3.499267e-004	7.998534e-006
1.000549791300511e-003	3.497801e-004	7.995602e-006
1.198736167481134e-003	2.705055e-004	6.410110e-006
1.872564292481132e-003	9.742831e-007	1.019486e-006
1.874517417481132e-003	1.394027e-007	1.003861e-006
1.874521871233452e-003	1.022337e-007	1.003825e-006
1.874530778738091e-003	-1.003441e-008	1.003754e-006
1.874532915998695e-003	-1.507194e-008	1.003737e-006
1.874533093001483e-003	-1.406929e-008	1.003735e-006
1.874533205108513e-003	-1.331276e-008	1.003734e-006
1.874533379783792e-003	-1.225433e-008	1.003733e-006
1.874533729134352e-003	-1.041092e-008	1.003730e-006
1.874534166944264e-003	-8.474250e-009	1.003727e-006
1.874534564531930e-003	-7.044405e-009	1.003723e-006
1.874534949222428e-003	-5.924202e-009	1.003720e-006
1.874535320858203e-003	-5.038985e-009	1.003717e-006
1.874535706439831e-003	-4.284864e-009	1.003714e-006
1.874536086902191e-003	-3.673047e-009	1.003711e-006
1.874536473275412e-003	-3.162570e-009	1.003708e-006
1.874536853599459e-003	-2.749273e-009	1.003705e-006
1.874537238274846e-003	-2.405340e-009	1.003702e-006
1.874537619275526e-003	-2.124785e-009	1.003699e-006
1.874538003552042e-003	-1.891714e-009	1.003696e-006
1.874538385123279e-003	-1.700977e-009	1.003693e-006
1.874538768953405e-003	-1.542842e-009	1.003690e-006
1.874539150854926e-003	-1.413104e-009	1.003687e-006
1.874539534380563e-003	-1.305669e-009	1.003684e-006
1.874539916539984e-003	-1.217368e-009	1.003681e-006
1.874540299853707e-003	-1.144313e-009	1.003678e-006
1.874540682192977e-003	-1.084194e-009	1.003675e-006
1.874541065353538e-003	-1.034488e-009	1.003672e-006
1.874541447820966e-003	-9.935476e-010	1.003668e-006
1.874541830873166e-003	-9.597138e-010	1.003665e-006
1.874542213432024e-003	-9.318291e-010	1.003662e-006
1.874542596407038e-003	-9.087928e-010	1.003659e-006
1.874542979030913e-003	-8.897986e-010	1.003656e-006
